code,description
370,Fuel Merchant
173,Funeral Director
964,Funfair
371,Fur Trade
376,Furniture Store
925,Furniture Installer
372,Furniture Manufacture
373,Furniture Remover
374,Furniture Repair
375,Furniture Sales
376,Furniture Store
377,Furniture Storer
378,Furriers
57,Gambling
379,Game Breeders
58,Garage
826,Garden Centre
380,Gardening
844,Gas - Offshore
381,Gas Exploration
59,Gas Industry
381,Gas Exploration
855,Genealogy
61,General Dealer
382,General Store
383,Gift Shop
384,Glass Manufacture
385,Glaziers
386,Golf Club
151,Government - Foreign
152,Government - Republic Of Ireland
387,Government - UK
387,Government - UK
371,Fur Trade
388,Gown Trade
389,Grain Merchants
390,Grain Mill
895,Graphic Design
879,Graphology
391,Greengrocer
392,Greeting Card Manufacturer
393,Greeting Card Sales
394,Greyhound Racing
65,Greyhounds
395,Grit Blasters
396,Grocer
397,Ground Maintenance
829,Guest House - Licensed
829,Guest House - Licensed
830,Guest House - Unlicensed
919,Guttering Installer
965,Gymnasium
66,Hairdressing
399,Harbour Authority
67,Harbour Board
400,Hardware Manufacturer
401,Hardware Retailer
174,Haulage Contractors
979,Hazardous Chemical Transport
402,Health Authority
68,Health Care - NHS
69,Health Care - Private
403,Health Centre
404,Health Club
889,Health Products Distribution
405,Heating Consultant
406,Heating Services
407,Hire Purchase
408,HM Forces
409,Hobby Shop
410,Holiday Accommodation
70,Holiday Camp
411,Holiday Centre
412,Home Help Services
888,Honey Producer
71,Horses
184,Horticulture
413,Hospital
72,Hotel - Licensed
73,Hotel - Unlicensed
414,House Builders
415,Housing Association
416,Housing Developers
417,Hypermarket
74,Ice Cream
418,Ice Cream Manufacturer
419,Ice Cream Shop
420,Ice Merchant
421,Ice Rink
422,Import
422,Import
423,Importers
424,Industrial Building Manufacturer
425,Industrial Relations
904,Information Technology
76,Inland Revenue
426,Inn
427,Inspection Services
428,Instant Print Services
429,Insulation Engineers
77,Insurance
430,Insurance Advisor
431,Insurance Broker
432,Insurance Company
433,Insurance Consultant
801,Interior Design
78,Investment
434,Iron Foundry
890,Ironing Services
435,Ironmonger
436,Jam & Preserve Manufacturer
437,Jewellers
185,Jewellery
438,Jewellery Manufacturer
439,Joinery
440,Keep Fit
441,Kennels
442,Kitchen Equipment Manufacturer
835,Kitchen Manufacturer
443,Kitchen Planners
444,Knitwear Manufacturer
445,Laboratory
446,Ladder Manufacturer
447,Land Clearance
448,Land Draining
449,Landscaping
450,Lathe Manufacturer
451,Launderette
153,Laundry
79,Law and Order
452,Lawnmowers & Garden Machinery
453,Lawyers
454,Leasing Company
455,Legal System
455,Legal System
175,Leisure Centre
930,Leisure Goods
456,Lens Manufacturer
457,Library
72,Hotel - Licensed
966,Life Assurance
458,Lift Installers
459,Lift Maintenance
940,Lighting
460,Lighting Installers
461,Linen Hire
462,Livery Stables
463,Livestock Carriers
902,Livestock Farming
63,Local Government
464,Local Government Authority
465,Local Newspaper
466,Locksmiths
467,Loft Insulation
82,Log And Firewood
468,Loss Adjusting
469,LPG Suppliers
470,Machine Tool Supplier
471,Machinery Dealers
83,Mail Order
472,Mail Order Supplier
473,Maintenance Services
474,Management Consultancy
475,Management Training
476,Mantle Trade
84,Manufacturing
477,Manufacturing Chemist
802,Marina
478,Market Garden
85,Market Gardeners
868,Market Research
479,Market Trading
480,Marketing
481,Marriage Guidance
482,Material Manufacturer
483,Mattress Manufacturer
484,Meat Market
485,Meat Products
486,Mechanical Handling
803,Medical research
487,Medical Suppliers
972,Meditation
86,Merchant Navy
488,Metal Founders
489,Metal Treatment
490,Microfilm Services
967,Military Police
491,Milk Delivery
87,Mining
88,Mobile Food
492,Mobile Shop
875,Model Manufacturer
89,Moneylenders
493,Monumental Masons
845,Motor Factor/Parts
142,Motor Manufacture
143,Motor Organisation
90,Motor Trade
91,Motorcar Racing
92,Motorcycle Racing
903,Motorcycle Trade
494,Motoring Organisation
836,Museums
495,Music Publisher
496,Music Retailer
497,Music School
498,Musical Instrument Manufacturer
499,National Newspaper
856,National Trust
857,National Trust For Scotland
500,Newsagents
909,Newspaper Wholesaler
93,Night Club
819,Noise Control
948,None - Household Duties
949,None - Not Employed due to Disability
947,None - Retired
